parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,914fca09-058a-4409-85c0-7e399c857d4d,1,6,0.057971014492753624,0.9420289855072463,1.0,0.9538461538461539,0,0,1.0,1.0,0.216328,ok
pymupdf4llm,53eec737-630e-4915-afbb-8c20cdd01263,2,6,0.01752021563342318,0.9824797843665768,0.9932614555256065,0.962962962962963,0,0,1.0,1.0,2.704208,ok
pymupdf4llm,1aa69af8-7349-44da-a558-09e5d5fb73c5,1,6,0.00946969696969697,0.990530303030303,0.9962121212121212,0.963855421686747,0,0,1.0,0.875,2.026738,ok
pymupdf4llm,62425e9b-b7de-4d31-9565-1042ad9e4926,1,6,0.017857142857142856,0.9821428571428571,1.0,0.9774436090225563,1,0,1.0,1.0,1.580035,ok
pymupdf4llm,428d5e87-612b-468c-80f3-5b5298d589c8,1,6,0.034482758620689655,0.9655172413793104,1.0,0.9142857142857143,1,0,1.0,1.0,1.016384,ok
pymupdf4llm,a961dd41-e5cb-40ce-876d-7c2f2c7dae96,1,6,0.017241379310344827,0.9827586206896551,1.0,0.967741935483871,1,0,1.0,1.0,0.888036,ok
pymupdf4llm,b4fefe60-e68c-4ba3-a8f9-35395b7ea0a5,1,6,0.03361344537815126,0.9663865546218487,1.0,0.9375,1,0,1.0,0.8571428571428571,0.192168,ok
pymupdf4llm,6d9e104c-a89c-4d15-bacf-47c19d8d6445,1,6,0.01699029126213592,0.9830097087378641,0.9927184466019418,0.9361702127659575,0,0,1.0,0.75,1.018403,ok
pymupdf4llm,b224a7d4-b81c-400d-b4ed-4d7473dd85cc,1,6,0.07296137339055794,0.927038626609442,0.9656652360515021,0.923076923076923,0,0,1.0,1.0,0.502284,ok
pymupdf4llm,54c494f7-d731-49bf-b9cd-d494aea72e34,1,6,0.027472527472527472,0.9725274725274725,0.9945054945054945,0.9666666666666666,0,0,0.6666666666666666,1.0,1.104087,ok
pymupdf4llm,a86d227e-37d3-446b-8d4a-793aff901edc,2,6,0.012127894156560088,0.9878721058434399,0.9933847850055126,0.9702970297029703,0,0,1.0,1.0,1.371441,ok
pymupdf4llm,f5cab3e6-1f49-4434-b9a2-5e97073b985b,1,6,0.05194805194805195,0.948051948051948,1.0,0.9508196721311475,0,0,1.0,0.6666666666666666,0.265497,ok
pymupdf4llm,41481127-0df1-490c-b7e4-bdd902d38a59,1,6,0.04395604395604396,0.9560439560439561,1.0,0.888888888888889,0,0,1.0,1.0,0.175746,ok
pymupdf4llm,ece5c810-9758-4fd8-ac97-21c1f75dd306,1,6,0.03305785123966942,0.9669421487603306,1.0,0.9,1,0,1.0,1.0,0.160036,ok
pymupdf4llm,502dd70a-926b-49d7-b236-63855c98e740,1,6,0.044642857142857144,0.9553571428571429,0.9732142857142857,0.84375,0,0,1.0,1.0,1.054286,ok
pymupdf4llm,9afaa852-4103-4782-9109-34104931dbc1,1,6,0.018421052631578946,0.9815789473684211,0.9921052631578947,0.9599999999999999,1,0,1.0,1.0,2.452733,ok
pymupdf4llm,e6c3cb87-13e2-49c8-81dc-d913b2071499,1,6,0.030470914127423823,0.9695290858725761,0.9861495844875346,0.9491525423728813,0,0,1.0,1.0,1.088774,ok
pymupdf4llm,e8877535-8ade-4ba3-aae2-cd4db2b5c59c,1,6,0.04712041884816754,0.9528795811518325,0.9790575916230366,0.927536231884058,0,0,1.0,0.8333333333333334,0.722508,ok
pymupdf4llm,8edfdb1c-3d22-496f-b6ba-f3ea45cf6151,1,6,0.007380073800738007,0.992619926199262,0.997539975399754,0.9333333333333333,0,0,1.0,1.0,2.002103,ok
pymupdf4llm,93f11a3d-ce9f-4b07-8d9e-0b876b2cbc30,1,6,0.04938271604938271,0.9506172839506173,0.9753086419753086,0.9565217391304348,0,0,1.0,1.0,0.732760,ok
pymupdf4llm,b24ee687-2712-4f16-9bc9-0f3f3636e407,1,6,0.024,0.976,1.0,0.9491525423728813,1,0,1.0,1.0,0.769283,ok
pymupdf4llm,0a75d1da-9beb-4a61-b2f4-06cff98b755e,2,6,0.009724473257698542,0.9902755267423015,0.9967585089141004,0.9637305699481865,0,0,1.0,1.0,3.605660,ok
